position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.519,0.45,5,4
2,33.319,0.15,6,4
3,32.519,0.1,5,5
4,34.169,-0.2,5,4
5,32.819,0.25,5,6
6,33.369,-0.2,5,5
7,33.719,-0.3,5,3
8,32.719,-0.35,4,3
9,33.719,0.25,5,5
10,32.319,-0.5,4,4
11,31.669,0.4,2,4
12,33.669,-0.05,5,3
13,33.269,-0.5,4,3
14,32.819,-0.1,4,5
15,34.019,0.4,5,5
16,32.869,0.55,3,4
17,31.919,-0.35,4,3
18,33.219,0.4,4,5
19,33.619,0.55,4,5
20,32.969,0.05,6,5
21,33.019,-0.2,4,6
22,34.069,-0.55,4,2
23,34.519,-0.4,4,1
24,34.069,0.05,2,4
25,32.119,0.25,5,4
26,32.619,-0.05,2,5
27,32.169,-0.3,4,5
28,32.169,-0.05,4,4
29,33.419,0.0,2,6
30,31.719,-0.5,3,5
31,32.019,0.55,4,4
32,34.369,-0.55,4,3
